#name	ftp_path	organism	assembly_level
Acin_pit_PHEA_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/191/145/GCF_000191145.1_ASM19114v1	Acinetobacter pittii	Complete Genome
Acin_varia_GCF_003938405_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/938/405/GCF_003938405.2_ASM393840v2	Acinetobacter variabilis	Complete Genome
Acin_varia_GCF_016607565_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/607/565/GCF_016607565.1_ASM1660756v1	Acinetobacter variabilis	Complete Genome
Acin_varia_GCF_018409485_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/409/485/GCF_018409485.1_ASM1840948v1	Acinetobacter variabilis	Complete Genome
Acin_varia_GCF_020099375_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/099/375/GCF_020099375.1_ASM2009937v1	Acinetobacter variabilis	Complete Genome
Acin_varia_GCF_025398455_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/398/455/GCF_025398455.1_ASM2539845v1	Acinetobacter variabilis	Complete Genome
Acin_wuh_GCF_001696605_3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/696/605/GCF_001696605.3_ASM169660v3	Acinetobacter wuhouensis	Complete Genome
Acin_wuh_GCF_002165345_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/165/345/GCF_002165345.2_ASM216534v2	Acinetobacter wuhouensis	Complete Genome
Alt_australica_GCF_000730385_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/730/385/GCF_000730385.1_ASM73038v1	Alteromonas australica	Complete Genome
Alt_australica_GCF_000934525_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/934/525/GCF_000934525.1_ASM93452v1	Alteromonas australica	Complete Genome
Alt_macl_ATCC_27126_GCF_000172635_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/172/635/GCF_000172635.2_ASM17263v2	Alteromonas macleodii	Complete Genome
Alt_macl_Balearic_Sea_AD45_GCF_000300175_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/300/175/GCF_000300175.1_ASM30017v1	Alteromonas macleodii	Complete Genome
Alt_macl_Black_Sea_11_GCF_000299995_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/299/995/GCF_000299995.1_ASM29999v1	Alteromonas macleodii	Complete Genome
Alt_macl_English_Channel_673_GCF_000299955_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/299/955/GCF_000299955.1_ASM29995v1	Alteromonas macleodii	Complete Genome
Alt_macl_GCF_001562235_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/562/235/GCF_001562235.1_ASM156223v1	Alteromonas macleodii	Complete Genome
Alt_macl_GCF_001578515_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/578/515/GCF_001578515.1_ASM157851v1	Alteromonas macleodii	Complete Genome
Alt_macl_GCF_002849875_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/849/875/GCF_002849875.1_ASM284987v1	Alteromonas macleodii	Complete Genome
Alt_macl_GCF_014825945_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/825/945/GCF_014825945.1_ASM1482594v1	Alteromonas macleodii	Chromosome
Alt_macl_GCF_023805395_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/805/395/GCF_023805395.1_ASM2380539v1	Alteromonas macleodii	Complete Genome
Alt_macl_GCF_901446615_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/446/615/GCF_901446615.2_ASM90144661v2	Alteromonas macleodii	Complete Genome
Alt_macl_GCF_901446755_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/446/755/GCF_901446755.2_ASM90144675v2	Alteromonas macleodii	Complete Genome
Alt_macl_GCF_901457775_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/457/775/GCF_901457775.2_ASM90145777v2	Alteromonas macleodii	Complete Genome
Alt_macl_GCF_901457785_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/457/785/GCF_901457785.2_ASM90145778v2	Alteromonas macleodii	Complete Genome
Alt_macl_GCF_901457815_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/457/815/GCF_901457815.2_ASM90145781v2	Alteromonas macleodii	Complete Genome
Alt_macl_GCF_901457835_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/457/835/GCF_901457835.2_ASM90145783v2.txt	Alteromonas macleodii	Complete Genome
Alt_macl_GCF_903772925_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/903/772/925/GCF_903772925.1_Alteromonas_fortis_strain_1T	Alteromonas macleodii	Chromosome
Alt_mediterranea_DE1_GCF_000310085_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/310/085/GCF_000310085.1_ASM31008v1	Alteromonas mediterranea	Complete Genome
Alt_mediterranea_DE_GCF_000020585_3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/585/GCF_000020585.3_ASM2058v3	Alteromonas mediterranea	Complete Genome
Alt_mediterranea_GCF_001562295_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/562/295/GCF_001562295.1_ASM156229v1	Alteromonas mediterranea	Complete Genome
Alt_mediterranea_GCF_001562315_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/562/315/GCF_001562315.1_ASM156231v1	Alteromonas mediterranea	Complete Genome
Alt_mediterranea_GCF_001886395_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/886/395/GCF_001886395.1_ASM188639v1	Alteromonas mediterranea	Complete Genome
Alt_mediterranea_GCF_001886415_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/886/415/GCF_001886415.1_ASM188641v1	Alteromonas mediterranea	Complete Genome
Alt_mediterranea_GCF_001886435_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/886/435/GCF_001886435.1_ASM188643v1	Alteromonas mediterranea	Complete Genome
Alt_mediterranea_GCF_001886455_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/886/455/GCF_001886455.1_ASM188645v1	Alteromonas mediterranea	Complete Genome
Alt_mediterranea_GCF_006517095_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/517/095/GCF_006517095.1_ASM651709v1	Alteromonas mediterranea	Complete Genome
Alt_mediterranea_GCF_006517115_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/517/115/GCF_006517115.1_ASM651711v1	Alteromonas mediterranea	Complete Genome
Alt_mediterranea_GCF_009759785_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/759/785/GCF_009759785.1_ASM975978v1	Alteromonas mediterranea	Complete Genome
Alt_mediterranea_MED64_GCF_000439495_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/439/495/GCF_000439495.1_ASM43949v1	Alteromonas mediterranea	Complete Genome
Alt_mediterranea_U4_GCF_000439515_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/439/515/GCF_000439515.1_ASM43951v1	Alteromonas mediterranea	Chromosome
Alt_mediterranea_U7_GCF_000439535_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/439/535/GCF_000439535.1_ASM43953v1	Alteromonas mediterranea	Complete Genome
Alt_mediterranea_UM4b_GCF_000439595_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/439/595/GCF_000439595.1_ASM43959v1	Alteromonas mediterranea	Complete Genome
Alt_mediterranea_UM7_GCF_000439575_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/439/575/GCF_000439575.1_ASM43957v1	Alteromonas mediterranea	Complete Genome
Alt_stel_GCF_001562195_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/562/195/GCF_001562195.1_ASM156219v1	Alteromonas stellipolaris	Complete Genome
Alt_stel_GCF_001632765_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/632/765/GCF_001632765.1_ASM163276v1	Alteromonas stellipolaris	Complete Genome
Alt_stel_GCF_001632825_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/632/825/GCF_001632825.1_ASM163282v1	Alteromonas stellipolaris	Complete Genome
Alt_stel_LMG_21856_GCF_001433715_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/433/715/GCF_001433715.1_ASM143371v1	Alteromonas stellipolaris	Complete Genome
Amp_japonica_ATCC_BAA_1530_GCF_016592435_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/592/435/GCF_016592435.1_ASM1659243v1	Amphritea japonica	Complete Genome
Amp_japonica_GCF_024347275_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/347/275/GCF_024347275.1_ASM2434727v1	Amphritea japonica	Complete Genome
Azot_chroo_GCF_002220155_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/155/GCF_002220155.1_ASM222015v1	Azotobacter chroococcum	Complete Genome
Azot_chroo_GCF_016406165_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/406/165/GCF_016406165.1_ASM1640616v1	Azotobacter chroococcum	Complete Genome
Azot_chroo_NCIMB_8003_GCF_000817975_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/817/975/GCF_000817975.1_ASM81797v1	Azotobacter chroococcum	Complete Genome
Azot_vine_CA6_GCF_000380365_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/380/365/GCF_000380365.1_ASM38036v1	Azotobacter vinelandii	Complete Genome
Azot_vine_CA_GCF_000380335_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/380/335/GCF_000380335.1_ASM38033v1	Azotobacter vinelandii	Complete Genome
Azot_vine_DJ_GCF_000021045_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/045/GCF_000021045.1_ASM2104v1	Azotobacter vinelandii	Complete Genome
Cellv_japonicus_GCF_008120855_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/120/855/GCF_008120855.1_ASM812085v1	Cellvibrio japonicus	Chromosome
Cellv_japonicus_GCF_008120875_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/120/875/GCF_008120875.1_ASM812087v1	Cellvibrio japonicus	Chromosome
Cellv_japonicus_GCF_008120895_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/120/895/GCF_008120895.1_ASM812089v1	Cellvibrio japonicus	Chromosome
Cellv_japonicus_Ueda107_GCF_000019225_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/225/GCF_000019225.1_ASM1922v1	Cellvibrio japonicus	Complete Genome
Halomo_elongata_DSM_2581_GCF_000196875_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/875/GCF_000196875.2_ASM19687v2	Halomonas elongata	Complete Genome
Halomo_elongata_GCF_027558275_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/558/275/GCF_027558275.1_ASM2755827v1	Halomonas elongata	Complete Genome
Halomo_hydrot_GCF_002442575_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/442/575/GCF_002442575.1_ASM244257v1	Halomonas hydrothermalis	Complete Genome
Halomo_hydrot_GCF_011399095_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/399/095/GCF_011399095.1_ASM1139909v1	Halomonas hydrothermalis	Complete Genome
Halomo_meri_GCF_009846525_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/846/525/GCF_009846525.1_ASM984652v1	Halomonas meridiana	Complete Genome
Halomo_meri_GCF_011398715_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/398/715/GCF_011398715.1_ASM1139871v1	Halomonas meridiana	Complete Genome
Halomo_meri_GCF_011764625_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/764/625/GCF_011764625.1_ASM1176462v1	Halomonas meridiana	Complete Genome
Halomo_pie_GCF_012427705_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/427/705/GCF_012427705.1_ASM1242770v1	Halomonas piezotolerans	Complete Genome
Halomo_pie_GCF_019443265_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/443/265/GCF_019443265.1_ASM1944326v1	Halomonas piezotolerans	Complete Genome
Halomo_tit_GCF_006542315_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/542/315/GCF_006542315.2_ASM654231v2	Halomonas titanicae	Complete Genome
Halomo_tit_GCF_013347205_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/347/205/GCF_013347205.1_ASM1334720v1	Halomonas titanicae	Complete Genome
Halomo_tit_GCF_014697095_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/697/095/GCF_014697095.1_ASM1469709v1	Halomonas titanicae	Complete Genome
Halomo_venu_GCF_003950215_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/950/215/GCF_003950215.1_ASM395021v1	Halomonas venusta	Complete Genome
Halomo_venu_GCF_015689495_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/689/495/GCF_015689495.1_ASM1568949v1	Halomonas venusta	Complete Genome
Halomo_venu_GCF_016859375_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/859/375/GCF_016859375.1_ASM1685937v1	Halomonas venusta	Chromosome
Halomo_venu_GCF_023330625_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/330/625/GCF_023330625.1_ASM2333062v1	Halomonas venusta	Complete Genome
Halomo_venu_GCF_026810465_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/810/465/GCF_026810465.1_ASM2681046v1	Halomonas venusta	Chromosome
Halomo_venu_GCF_026810485_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/810/485/GCF_026810485.1_ASM2681048v1	Halomonas venusta	Chromosome
Halomo_venu_GCF_026811385_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/811/385/GCF_026811385.1_ASM2681138v1	Halomonas venusta	Chromosome
Id_loi_GCF_024398575_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/398/575/GCF_024398575.1_ASM2439857v1	Idiomarina loihiensis	Complete Genome
Id_loi_GCF_024584785_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/584/785/GCF_024584785.1_ASM2458478v1	Idiomarina loihiensis	Complete Genome
Id_loi_GSL_199_GCF_000401175_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/401/175/GCF_000401175.1_ASM40117v1	Idiomarina loihiensis	Complete Genome
Id_loi_L2TR_GCF_000008465_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/465/GCF_000008465.1_ASM846v1	Idiomarina loihiensis	Complete Genome
Marinob_adh_GCF_018972165_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/972/165/GCF_018972165.1_ASM1897216v1	Marinobacter adhaerens	Complete Genome
Marinob_adh_HP15_GCF_000166295_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/166/295/GCF_000166295.1_ASM16629v1	Marinobacter adhaerens	Complete Genome
Marinob_nau_ATCC_49840_GCF_000284615_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/615/GCF_000284615.1_ASM28461v1	Marinobacter nauticus	Complete Genome
Marinob_nau_VT8_GCF_000015365_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/365/GCF_000015365.1_ASM1536v1	Marinobacter nauticus	Complete Genome
Marinob_sala_GCF_002116735_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/116/735/GCF_002116735.1_ASM211673v1	Marinobacter salarius	Complete Genome
Marinob_sala_GCF_003986605_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/986/605/GCF_003986605.1_ASM398660v1	Marinobacter salarius	Complete Genome
Marinom_prim_GCF_003285205_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/285/205/GCF_003285205.1_ASM328520v1	Marinomonas primoryensis	Chromosome
Marinom_prim_GCF_013372285_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/372/285/GCF_013372285.1_ASM1337228v1	Marinomonas primoryensis	Complete Genome
Mora_bovis_GCF_003287015_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/287/015/GCF_003287015.1_ASM328701v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025983385_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/983/385/GCF_025983385.1_ASM2598338v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025983525_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/983/525/GCF_025983525.1_ASM2598352v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025983625_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/983/625/GCF_025983625.1_ASM2598362v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025983645_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/983/645/GCF_025983645.1_ASM2598364v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025983665_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/983/665/GCF_025983665.1_ASM2598366v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025984245_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/984/245/GCF_025984245.1_ASM2598424v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025984365_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/984/365/GCF_025984365.1_ASM2598436v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025984385_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/984/385/GCF_025984385.1_ASM2598438v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025984405_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/984/405/GCF_025984405.1_ASM2598440v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025984425_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/984/425/GCF_025984425.1_ASM2598442v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025984445_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/984/445/GCF_025984445.1_ASM2598444v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025984465_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/984/465/GCF_025984465.1_ASM2598446v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025984485_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/984/485/GCF_025984485.1_ASM2598448v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025984525_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/984/525/GCF_025984525.1_ASM2598452v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025984565_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/984/565/GCF_025984565.1_ASM2598456v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025984585_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/984/585/GCF_025984585.1_ASM2598458v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025984605_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/984/605/GCF_025984605.1_ASM2598460v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025984625_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/984/625/GCF_025984625.1_ASM2598462v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025984845_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/984/845/GCF_025984845.1_ASM2598484v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025984965_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/984/965/GCF_025984965.1_ASM2598496v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025985165_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/985/165/GCF_025985165.1_ASM2598516v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025985185_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/985/185/GCF_025985185.1_ASM2598518v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025985205_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/985/205/GCF_025985205.1_ASM2598520v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025985225_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/985/225/GCF_025985225.1_ASM2598522v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025985245_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/985/245/GCF_025985245.1_ASM2598524v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025985265_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/985/265/GCF_025985265.1_ASM2598526v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025985285_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/985/285/GCF_025985285.1_ASM2598528v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025985305_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/985/305/GCF_025985305.1_ASM2598530v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025985325_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/985/325/GCF_025985325.1_ASM2598532v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025985345_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/985/345/GCF_025985345.1_ASM2598534v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025985365_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/985/365/GCF_025985365.1_ASM2598536v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025985385_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/985/385/GCF_025985385.1_ASM2598538v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_025985405_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/985/405/GCF_025985405.1_ASM2598540v1	Moraxella bovis	Complete Genome
Mora_bovis_GCF_026168475_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/168/475/GCF_026168475.1_ASM2616847v1	Moraxella bovis	Chromosome
Mora_bovis_GCF_026168495_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/168/495/GCF_026168495.1_ASM2616849v1	Moraxella bovis	Chromosome
Mora_bovis_GCF_026725495_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/725/495/GCF_026725495.1_ASM2672549v1	Moraxella bovis	Complete Genome
Mora_bovo_GCF_000988605_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/988/605/GCF_000988605.1_ASM98860v1	Moraxella bovoculi	Complete Genome
Mora_bovo_GCF_000988615_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/988/615/GCF_000988615.1_ASM98861v1	Moraxella bovoculi	Complete Genome
Mora_bovo_GCF_000988655_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/988/655/GCF_000988655.1_ASM98865v1	Moraxella bovoculi	Complete Genome
Mora_bovo_GCF_000988685_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/988/685/GCF_000988685.1_ASM98868v1	Moraxella bovoculi	Complete Genome
Mora_bovo_GCF_000988705_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/988/705/GCF_000988705.1_ASM98870v1	Moraxella bovoculi	Complete Genome
Mora_bovo_GCF_000988725_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/988/725/GCF_000988725.2_ASM98872v2	Moraxella bovoculi	Complete Genome
Mora_bovo_GCF_000988745_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/988/745/GCF_000988745.2_ASM98874v3	Moraxella bovoculi	Complete Genome
Mora_cata_BBH18_GCF_000092265_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/265/GCF_000092265.1_ASM9226v1	Moraxella catarrhalis	Complete Genome
Mora_cata_GCF_000740455_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/740/455/GCF_000740455.1_ASM74045v1	Moraxella catarrhalis	Complete Genome
Mora_cata_GCF_000766665_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/766/665/GCF_000766665.1_ASM76666v1	Moraxella catarrhalis	Complete Genome
Mora_cata_GCF_002073215_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/073/215/GCF_002073215.2_ASM207321v2	Moraxella catarrhalis	Complete Genome
Mora_cata_GCF_002080125_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/080/125/GCF_002080125.1_ASM208012v1	Moraxella catarrhalis	Complete Genome
Mora_cata_GCF_002984125_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/984/125/GCF_002984125.1_ASM298412v1	Moraxella catarrhalis	Complete Genome
Mora_cata_GCF_003443915_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/443/915/GCF_003443915.1_ASM344391v1	Moraxella catarrhalis	Chromosome
Mora_cata_GCF_003443935_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/443/935/GCF_003443935.1_ASM344393v1	Moraxella catarrhalis	Chromosome
Mora_cata_GCF_003443955_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/443/955/GCF_003443955.1_ASM344395v1	Moraxella catarrhalis	Chromosome
Mora_cata_GCF_003443975_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/443/975/GCF_003443975.1_ASM344397v1	Moraxella catarrhalis	Chromosome
Mora_cata_GCF_003971285_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/971/285/GCF_003971285.1_ASM397128v1	Moraxella catarrhalis	Complete Genome
Mora_cata_GCF_003971305_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/971/305/GCF_003971305.1_ASM397130v1	Moraxella catarrhalis	Complete Genome
Mora_cata_GCF_003971325_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/971/325/GCF_003971325.1_ASM397132v1	Moraxella catarrhalis	Complete Genome
Mora_cata_GCF_003971345_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/971/345/GCF_003971345.1_ASM397134v1	Moraxella catarrhalis	Complete Genome
Mora_cata_GCF_003971365_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/971/365/GCF_003971365.1_ASM397136v1	Moraxella catarrhalis	Complete Genome
Mora_cata_GCF_900476075_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/476/075/GCF_900476075.1_49595_F01	Moraxella catarrhalis	Complete Genome
Mora_non_GCF_016028775_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/028/775/GCF_016028775.1_ASM1602877v1	Moraxella nonliquefaciens	Complete Genome
Mora_non_GCF_016127895_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/127/895/GCF_016127895.1_ASM1612789v1	Moraxella nonliquefaciens	Complete Genome
